
X1=114.44, Y1=-124.05, Z1=286.68, A1=-3.15, B1=3.30, C1=-2.14, M1=97.50, N1=-397.50, O1=147.00 L2=26.741, I2=26.750,  Status = ON
X1=39.88, Y1=-140.36, Z1=62.13, A1=-5.95, B1=0.34, C1=-3.01, M1=255.00, N1=-297.00, O1=238.50 L2=26.772, I2=26.750,  Status = ON
X1=31.89, Y1=-125.66, Z1=-22.81, A1=-5.47, B1=2.96, C1=-6.15, M1=256.50, N1=-249.00, O1=279.00 L2=26.721, I2=26.625,  Status = ON
X1=35.81, Y1=-118.65, Z1=-57.38, A1=-14.99, B1=1.95, C1=-1.90, M1=220.50, N1=-244.50, O1=307.50 L2=26.580, I2=26.750,  Status = ON
X1=41.88, Y1=-60.33, Z1=47.20, A1=-10.38, B1=0.70, C1=-2.02, M1=195.00, N1=-235.50, O1=334.50 L2=26.745, I2=26.625,  Status = ON
X1=34.12, Y1=-63.91, Z1=16.49, A1=-4.07, B1=0.36, C1=-2.47, M1=174.00, N1=-217.50, O1=346.50 L2=26.647, I2=26.750,  Status = ON
X1=30.40, Y1=-93.21, Z1=76.54, A1=-2.00, B1=-2.02, C1=-2.40, M1=157.50, N1=-201.00, O1=358.50 L2=26.748, I2=27.250,  Status = ON
X1=2.28, Y1=-114.45, Z1=84.60, A1=-1.66, B1=-1.73, C1=0.84, M1=138.00, N1=-183.00, O1=369.00 L2=26.694, I2=26.625,  Status = ON
X1=-26.44, Y1=-128.19, Z1=134.13, A1=-0.15, B1=0.27, C1=3.21, M1=108.00, N1=-177.00, O1=375.00 L2=26.643, I2=26.750,  Status = ON
X1=-30.93, Y1=-167.47, Z1=69.09, A1=1.85, B1=2.10, C1=5.84, M1=75.00, N1=-181.50, O1=379.50 L2=26.705, I2=26.750,  Status = ON
X1=-11.64, Y1=-182.35, Z1=166.21, A1=7.38, B1=-1.15, C1=1.69, M1=36.00, N1=-192.00, O1=376.50 L2=26.659, I2=26.625,  Status = ON
X1=-92.29, Y1=-198.77, Z1=21.95, A1=0.59, B1=5.00, C1=2.67, M1=-18.00, N1=-204.00, O1=363.00 L2=26.702, I2=27.250,  Status = ON
X1=-162.29, Y1=-286.68, Z1=-3.66, A1=-17.73, B1=9.20, C1=19.41, M1=-87.00, N1=-222.00, O1=330.00 L2=26.666, I2=27.000,  Status = ON
X1=-106.76, Y1=-274.72, Z1=59.56, A1=-19.59, B1=19.01, C1=19.32, M1=-160.50, N1=-243.00, O1=274.50 L2=26.713, I2=26.875,  Status = ON
X1=-93.30, Y1=-177.46, Z1=8.15, A1=-19.59, B1=17.97, C1=10.39, M1=-207.00, N1=-256.50, O1=211.50 L2=26.612, I2=26.875,  Status = ON
X1=-43.58, Y1=-69.68, Z1=36.27, A1=-17.98, B1=9.66, C1=8.21, M1=-219.00, N1=-267.00, O1=171.00 L2=26.612, I2=26.750,  Status = ON
X1=-21.51, Y1=-62.25, Z1=-13.23, A1=-9.05, B1=5.28, C1=7.34, M1=-219.00, N1=-265.50, O1=148.50 L2=26.659, I2=26.750,  Status = ON
