
X1=117.07, Y1=-131.57, Z1=286.68, A1=1.61, B1=0.20, C1=-1.96, M1=160.50, N1=-279.00, O1=291.00 L2=26.936, I2=27.000,  Status = ON
X1=43.17, Y1=-107.21, Z1=114.40, A1=-4.94, B1=-2.80, C1=-1.79, M1=219.00, N1=-183.00, O1=331.50 L2=26.858, I2=26.875,  Status = ON
X1=-8.94, Y1=-149.85, Z1=122.50, A1=-4.71, B1=-0.87, C1=-4.79, M1=204.00, N1=-163.50, O1=345.00 L2=26.858, I2=27.250,  Status = ON
X1=-23.66, Y1=-181.12, Z1=7.07, A1=-3.15, B1=-0.76, C1=-0.80, M1=162.00, N1=-154.50, O1=363.00 L2=26.877, I2=27.250,  Status = ON
X1=-36.36, Y1=-181.49, Z1=-103.34, A1=-3.61, B1=-0.04, C1=10.91, M1=105.00, N1=-172.50, O1=376.50 L2=26.987, I2=27.000,  Status = ON
X1=-31.09, Y1=-173.41, Z1=-38.26, A1=-6.99, B1=1.98, C1=3.56, M1=43.50, N1=-187.50, O1=382.50 L2=26.846, I2=26.750,  Status = ON
X1=-31.55, Y1=-186.55, Z1=-66.39, A1=-4.25, B1=3.96, C1=3.38, M1=-18.00, N1=-189.00, O1=373.50 L2=26.940, I2=26.750,  Status = ON
X1=-1.49, Y1=-164.77, Z1=-147.31, A1=-8.27, B1=3.48, C1=2.46, M1=-76.50, N1=-186.00, O1=358.50 L2=27.014, I2=27.000,  Status = ON
X1=3.92, Y1=-194.87, Z1=40.65, A1=-6.27, B1=1.21, C1=0.11, M1=-130.50, N1=-184.50, O1=339.00 L2=26.916, I2=27.000,  Status = ON
X1=-2.56, Y1=-202.67, Z1=-75.02, A1=-12.29, B1=0.31, C1=7.49, M1=-186.00, N1=-190.50, O1=316.50 L2=27.010, I2=27.250,  Status = ON
X1=-6.25, Y1=-194.63, Z1=18.84, A1=-13.41, B1=-0.20, C1=15.97, M1=-232.50, N1=-184.50, O1=276.00 L2=26.897, I2=27.250,  Status = ON
X1=-15.65, Y1=-186.77, Z1=18.79, A1=-17.73, B1=1.94, C1=15.53, M1=-265.50, N1=-169.50, O1=223.50 L2=26.901, I2=27.250,  Status = ON
X1=-12.20, Y1=-154.52, Z1=8.20, A1=-18.41, B1=3.87, C1=11.98, M1=-291.00, N1=-177.00, O1=183.00 L2=26.846, I2=27.250,  Status = ON
X1=-3.77, Y1=-87.11, Z1=-2.07, A1=-14.99, B1=2.35, C1=11.92, M1=-304.50, N1=-187.50, O1=145.50 L2=26.846, I2=27.125,  Status = ON
X1=-77.67, Y1=65.37, Z1=84.66, A1=-18.06, B1=-0.92, C1=7.42, M1=-291.00, N1=-199.50, O1=130.50 L2=26.862, I2=27.250,  Status = ON
X1=141.25, Y1=-184.73, Z1=116.99, A1=-4.00, B1=0.87, C1=6.41, M1=-286.50, N1=-207.00, O1=120.00 L2=26.893, I2=27.250,  Status = ON
X1=-38.40, Y1=61.24, Z1=-56.73, A1=-7.91, B1=4.35, C1=9.12, M1=-294.00, N1=-204.00, O1=103.50 L2=26.870, I2=27.000,  Status = ON
X1=25.95, Y1=28.29, Z1=-2.66, A1=-11.71, B1=3.51, C1=10.56, M1=-295.50, N1=-208.50, O1=109.50 L2=26.854, I2=27.250,  Status = ON
X1=-29.47, Y1=8.74, Z1=-164.32, A1=-19.59, B1=2.53, C1=8.78, M1=-301.50, N1=-196.50, O1=109.50 L2=26.858, I2=27.250,  Status = ON
X1=37.60, Y1=39.55, Z1=-69.10, A1=-19.59, B1=5.48, C1=9.14, M1=-310.50, N1=-175.50, O1=109.50 L2=26.858, I2=27.125,  Status = ON
X1=33.02, Y1=135.70, Z1=-33.97, A1=-18.50, B1=3.68, C1=10.70, M1=-315.00, N1=-165.00, O1=133.50 L2=26.893, I2=27.250,  Status = ON
X1=35.13, Y1=175.35, Z1=-61.25, A1=-15.63, B1=1.06, C1=10.26, M1=-300.00, N1=-154.50, O1=177.00 L2=27.006, I2=26.625,  Status = ON
X1=20.64, Y1=198.62, Z1=-56.31, A1=-13.31, B1=0.36, C1=10.00, M1=-274.50, N1=-142.50, O1=225.00 L2=26.952, I2=27.250,  Status = ON
