
X1=-5.71, Y1=-108.90, Z1=4.65, A1=-2.82, B1=-3.24, C1=2.91, M1=-108.00, N1=-427.50, O1=0.00 L2=26.721, I2=26.625,  Status = ON
X1=-17.84, Y1=-154.52, Z1=-100.41, A1=3.97, B1=-0.36, C1=3.97, M1=-129.00, N1=-423.00, O1=-16.50 L2=26.733, I2=26.625,  Status = ON
X1=24.94, Y1=-248.15, Z1=240.96, A1=4.15, B1=0.59, C1=8.64, M1=-120.00, N1=-427.50, O1=-34.50 L2=26.682, I2=26.875,  Status = ON
X1=-47.46, Y1=-249.22, Z1=175.14, A1=-2.10, B1=0.92, C1=9.42, M1=-64.50, N1=-445.50, O1=-57.00 L2=26.791, I2=26.875,  Status = ON
X1=-67.17, Y1=-230.29, Z1=43.63, A1=-7.97, B1=1.79, C1=8.42, M1=-9.00, N1=-453.00, O1=-93.00 L2=26.873, I2=26.875,  Status = ON
X1=-83.00, Y1=-211.79, Z1=-173.21, A1=-9.34, B1=4.08, C1=8.97, M1=-12.00, N1=-448.50, O1=-126.00 L2=26.733, I2=26.875,  Status = ON
X1=-28.17, Y1=-229.36, Z1=-30.98, A1=-19.55, B1=6.92, C1=14.36, M1=-45.00, N1=-450.00, O1=-169.50 L2=26.713, I2=27.250,  Status = ON
X1=-22.04, Y1=-225.08, Z1=34.18, A1=-19.59, B1=8.24, C1=19.24, M1=-24.00, N1=-468.00, O1=-213.00 L2=26.784, I2=27.250,  Status = ON
X1=-39.81, Y1=-157.36, Z1=18.51, A1=-19.49, B1=5.73, C1=8.72, M1=43.50, N1=-483.00, O1=-247.50 L2=26.819, I2=26.875,  Status = ON
X1=-38.90, Y1=-110.22, Z1=14.89, A1=-15.90, B1=6.22, C1=8.99, M1=108.00, N1=-487.50, O1=-271.50 L2=26.893, I2=26.750,  Status = ON
X1=-35.03, Y1=33.01, Z1=-11.89, A1=-9.42, B1=6.18, C1=12.22, M1=150.00, N1=-474.00, O1=-282.00 L2=26.846, I2=27.000,  Status = ON
X1=7.39, Y1=-25.24, Z1=33.35, A1=-19.57, B1=5.86, C1=4.10, M1=189.00, N1=-445.50, O1=-292.50 L2=26.803, I2=27.250,  Status = ON
X1=-26.72, Y1=-70.04, Z1=67.25, A1=-2.44, B1=-2.30, C1=2.29, M1=222.00, N1=-436.50, O1=-295.50 L2=26.635, I2=27.000,  Status = ON
X1=14.82, Y1=-51.51, Z1=-25.19, A1=-10.90, B1=7.33, C1=8.62, M1=228.00, N1=-444.00, O1=-289.50 L2=26.768, I2=27.250,  Status = ON
X1=-23.69, Y1=15.49, Z1=-286.44, A1=-19.46, B1=7.89, C1=9.10, M1=184.50, N1=-457.50, O1=-286.50 L2=26.799, I2=26.875,  Status = ON
X1=49.39, Y1=139.49, Z1=-97.04, A1=-19.59, B1=8.24, C1=14.13, M1=102.00, N1=-477.00, O1=-280.50 L2=26.803, I2=26.875,  Status = ON
X1=46.53, Y1=164.44, Z1=-81.23, A1=-17.91, B1=7.36, C1=10.79, M1=24.00, N1=-481.50, O1=-259.50 L2=26.885, I2=27.000,  Status = ON
X1=56.19, Y1=189.73, Z1=-80.80, A1=-13.13, B1=5.87, C1=9.73, M1=-48.00, N1=-475.50, O1=-226.50 L2=26.834, I2=26.750,  Status = ON
X1=62.83, Y1=192.64, Z1=-56.73, A1=-10.36, B1=4.22, C1=8.00, M1=-100.50, N1=-462.00, O1=-172.50 L2=26.772, I2=26.875,  Status = ON
X1=64.62, Y1=199.18, Z1=-73.33, A1=-10.45, B1=2.94, C1=7.15, M1=-130.50, N1=-447.00, O1=-112.50 L2=26.741, I2=26.875,  Status = ON
X1=59.78, Y1=205.51, Z1=-57.92, A1=-7.68, B1=1.41, C1=6.68, M1=-148.50, N1=-439.50, O1=-58.50 L2=26.737, I2=26.875,  Status = ON
X1=48.54, Y1=211.84, Z1=-75.85, A1=-2.69, B1=-0.74, C1=5.89, M1=-162.00, N1=-429.00, O1=-13.50 L2=26.709, I2=26.750,  Status = ON
X1=31.49, Y1=199.04, Z1=-45.02, A1=-3.02, B1=-2.76, C1=4.02, M1=-168.00, N1=-423.00, O1=28.50 L2=26.733, I2=26.875,  Status = ON
X1=13.48, Y1=179.70, Z1=5.16, A1=-2.50, B1=-3.29, C1=-0.07, M1=-159.00, N1=-420.00, O1=63.00 L2=26.823, I2=26.750,  Status = ON
X1=-3.17, Y1=158.15, Z1=3.02, A1=-3.12, B1=-2.13, C1=-1.88, M1=-136.50, N1=-418.50, O1=81.00 L2=26.737, I2=26.625,  Status = ON
X1=-9.32, Y1=142.03, Z1=-2.49, A1=-3.70, B1=-0.85, C1=-2.99, M1=-114.00, N1=-417.00, O1=97.50 L2=26.713, I2=26.750,  Status = ON
X1=-11.08, Y1=125.24, Z1=31.74, A1=-3.06, B1=-0.50, C1=-4.32, M1=-90.00, N1=-415.50, O1=106.50 L2=26.752, I2=27.000,  Status = ON
X1=-7.38, Y1=89.32, Z1=-2.07, A1=-1.01, B1=0.02, C1=-3.38, M1=-72.00, N1=-421.50, O1=109.50 L2=26.780, I2=26.750,  Status = ON
X1=-6.91, Y1=65.23, Z1=57.73, A1=-0.86, B1=0.60, C1=-3.98, M1=-57.00, N1=-424.50, O1=112.50 L2=26.713, I2=27.000,  Status = ON
X1=-7.47, Y1=57.91, Z1=51.16, A1=-0.91, B1=0.62, C1=-6.18, M1=-36.00, N1=-441.00, O1=112.50 L2=26.768, I2=26.875,  Status = ON
X1=-7.01, Y1=1.10, Z1=-5.54, A1=-2.51, B1=0.74, C1=-7.05, M1=-22.50, N1=-444.00, O1=109.50 L2=26.823, I2=27.000,  Status = ON
X1=2.20, Y1=-12.77, Z1=-7.96, A1=-4.21, B1=0.92, C1=-7.05, M1=-21.00, N1=-433.50, O1=108.00 L2=26.815, I2=26.625,  Status = ON
X1=-2.95, Y1=-14.22, Z1=-6.49, A1=-5.63, B1=0.92, C1=-8.23, M1=-24.00, N1=-433.50, O1=103.50 L2=26.756, I2=26.750,  Status = ON
X1=-6.42, Y1=-15.18, Z1=-9.31, A1=-7.93, B1=1.01, C1=-11.00, M1=-22.50, N1=-435.00, O1=99.00 L2=26.760, I2=26.875,  Status = ON
X1=-3.30, Y1=14.71, Z1=-3.31, A1=-7.66, B1=1.66, C1=-10.29, M1=-19.50, N1=-439.50, O1=99.00 L2=26.854, I2=26.750,  Status = ON
X1=-0.01, Y1=27.06, Z1=-5.35, A1=-7.84, B1=1.96, C1=-9.62, M1=-22.50, N1=-436.50, O1=97.50 L2=26.791, I2=26.750,  Status = ON
X1=0.63, Y1=39.23, Z1=-6.55, A1=-7.85, B1=2.11, C1=-8.89, M1=-21.00, N1=-436.50, O1=96.00 L2=26.858, I2=26.875,  Status = ON
X1=1.36, Y1=55.40, Z1=1.46, A1=-7.87, B1=1.41, C1=-8.33, M1=-15.00, N1=-436.50, O1=96.00 L2=26.823, I2=27.250,  Status = ON
X1=-0.94, Y1=68.07, Z1=9.16, A1=-6.40, B1=1.35, C1=-8.20, M1=-4.50, N1=-433.50, O1=93.00 L2=26.768, I2=27.000,  Status = ON
X1=-1.41, Y1=77.54, Z1=8.58, A1=-5.04, B1=1.44, C1=-8.12, M1=6.00, N1=-435.00, O1=88.50 L2=26.705, I2=26.750,  Status = ON
X1=-6.08, Y1=86.29, Z1=8.09, A1=-3.96, B1=1.06, C1=-8.51, M1=21.00, N1=-433.50, O1=87.00 L2=26.780, I2=27.250,  Status = ON
X1=-10.77, Y1=86.45, Z1=24.08, A1=-3.08, B1=1.26, C1=-8.03, M1=34.50, N1=-433.50, O1=84.00 L2=26.877, I2=26.750,  Status = ON
X1=3.12, Y1=79.68, Z1=6.61, A1=-0.49, B1=1.41, C1=-6.02, M1=51.00, N1=-436.50, O1=78.00 L2=26.698, I2=27.000,  Status = ON
X1=3.19, Y1=58.35, Z1=17.29, A1=0.28, B1=1.07, C1=-5.21, M1=64.50, N1=-435.00, O1=78.00 L2=26.776, I2=27.250,  Status = ON
X1=14.85, Y1=25.80, Z1=51.74, A1=1.52, B1=1.05, C1=-1.34, M1=76.50, N1=-432.00, O1=72.00 L2=26.807, I2=27.250,  Status = ON
X1=49.04, Y1=-5.74, Z1=188.96, A1=6.02, B1=0.56, C1=3.10, M1=109.50, N1=-420.00, O1=72.00 L2=26.819, I2=27.250,  Status = ON
X1=14.01, Y1=-135.17, Z1=75.70, A1=7.75, B1=0.60, C1=6.01, M1=141.00, N1=-405.00, O1=94.50 L2=26.815, I2=26.750,  Status = ON
X1=16.76, Y1=-285.01, Z1=38.73, A1=14.44, B1=-3.90, C1=18.23, M1=147.00, N1=-402.00, O1=124.50 L2=26.846, I2=27.000,  Status = ON
X1=-75.92, Y1=-286.68, Z1=-14.80, A1=13.02, B1=-7.46, C1=19.57, M1=106.50, N1=-406.50, O1=147.00 L2=26.799, I2=26.750,  Status = ON
X1=-235.69, Y1=-286.68, Z1=27.97, A1=16.49, B1=-16.00, C1=19.57, M1=36.00, N1=-424.50, O1=127.50 L2=26.830, I2=26.625,  Status = ON
X1=-286.68, Y1=-286.68, Z1=255.24, A1=-17.96, B1=-3.83, C1=19.57, M1=19.50, N1=-453.00, O1=10.50 L2=26.772, I2=27.250,  Status = ON
X1=-286.68, Y1=-286.68, Z1=117.12, A1=-19.59, B1=13.79, C1=19.57, M1=109.50, N1=-421.50, O1=-183.00 L2=26.827, I2=27.250,  Status = ON
X1=-286.68, Y1=-284.44, Z1=168.67, A1=-19.59, B1=18.44, C1=19.57, M1=247.50, N1=-274.50, O1=-301.50 L2=26.729, I2=26.750,  Status = ON
X1=-286.68, Y1=-102.65, Z1=206.10, A1=-19.59, B1=19.57, C1=19.57, M1=324.00, N1=-99.00, O1=-300.00 L2=26.678, I2=27.000,  Status = ON
