
X1=1.0, Y1=1.0, Z1=1.0, A1=1.0, B1=1.0, C1=1.0, M1=1.0, N1=1.0, OC1=-3.68, M1=-153.00, N1=307.50, O1=-88.50 L2=26.819, I2=26.625,  Status = ON
X1=36.24, Y1=154.72, Z1=286.68, A1=-0.82, B1=3.93, C1=-3.90, M1=-273.00, N1=226.50, O1=-52.50 L2=26.815, I2=27.000,  Status = ON
X1=117.48, Y1=66.18, Z1=286.68, A1=-2.46, B1=4.08, C1=-2.87, M1=-355.50, N1=99.00, O1=-28.50 L2=26.741, I2=27.250,  Status = ON
X1=152.15, Y1=-3.79, Z1=286.68, A1=-3.68, B1=2.17, C1=-1.27, M1=-385.50, N1=-57.00, O1=-13.50 L2=26.881, I2=26.625,  Status = ON
X1=151.10, Y1=-56.88, Z1=286.68, A1=-2.90, B1=0.79, C1=-2.39, M1=-364.50, N1=-199.50, O1=-9.00 L2=26.799, I2=26.625,  Status = ON
X1=107.42, Y1=-92.55, Z1=276.35, A1=-2.55, B1=0.37, C1=-5.07, M1=-313.50, N1=-288.00, O1=-9.00 L2=26.815, I2=26.750,  Status = ON
X1=84.44, Y1=-109.64, Z1=147.10, A1=-8.48, B1=-1.57, C1=-6.80, M1=-262.50, N1=-333.00, O1=-6.00 L2=26.877, I2=26.750,  Status = ON
X1=57.43, Y1=-88.10, Z1=-110.90, A1=-5.02, B1=-0.11, C1=-9.29, M1=-247.50, N1=-346.50, O1=-7.50 L2=26.729, I2=27.250,  Status = ON
X1=56.98, Y1=-63.33, Z1=6.10, A1=-3.91, B1=0.70, C1=-8.20, M1=-255.00, N1=-339.00, O1=-9.00 L2=26.838, I2=26.750,  Status = ON
X1=63.27, Y1=-89.92, Z1=90.02, A1=-8.42, B1=0.42, C1=-7.23, M1=-246.00, N1=-346.50, O1=-7.50 L2=26.702, I2=27.000,  Status = ON
X1=53.69, Y1=-68.33, Z1=116.02, A1=-7.65, B1=0.31, C1=-7.34, M1=-223.50, N1=-367.50, O1=-3.00 L2=26.784, I2=27.000,  Status = ON
X1=37.06, Y1=-68.59, Z1=59.87, A1=-8.17, B1=-0.86, C1=-5.65, M1=-202.50, N1=-382.50, O1=1.50 L2=26.768, I2=26.875,  Status = ON
X1=31.18, Y1=-71.29, Z1=83.82, A1=-4.38, B1=0.05, C1=-4.89, M1=-186.00, N1=-394.50, O1=-6.00 L2=26.846, I2=27.000,  Status = ON
X1=30.34, Y1=-85.02, Z1=45.89, A1=-4.25, B1=-0.10, C1=-2.85, M1=-172.50, N1=-408.00, O1=-10.50 L2=26.788, I2=27.250,  Status = ON
X1=21.70, Y1=-98.24, Z1=20.23, A1=-3.99, B1=-1.38, C1=-0.21, M1=-162.00, N1=-415.50, O1=-10.50 L2=26.702, I2=27.000,  Status = ON
X1=6.26, Y1=-115.62, Z1=41.55, A1=-1.06, B1=-2.06, C1=3.50, M1=-153.00, N1=-405.00, O1=-21.00 L2=26.713, I2=26.875,  Status = ON
X1=-23.33, Y1=-140.33, Z1=99.51, A1=-0.02, B1=-0.93, C1=3.02, M1=-132.00, N1=-417.00, O1=-49.50 L2=26.698, I2=26.750,  Status = ON
X1=-45.81, Y1=-163.49, Z1=91.99, A1=0.54, B1=0.65, C1=3.55, M1=-96.00, N1=-444.00, O1=-76.50 L2=26.721, I2=26.625,  Status = ON
X1=-61.63, Y1=-179.71, Z1=74.82, A1=-3.86, B1=1.94, C1=2.35, M1=-55.50, N1=-439.50, O1=-106.50 L2=26.842, I2=27.250,  Status = ON
X1=-70.90, Y1=-180.25, Z1=-15.40, A1=-9.70, B1=4.92, C1=3.19, M1=-40.50, N1=-424.50, O1=-138.00 L2=26.741, I2=26.875,  Status = ON
X1=-62.79, Y1=-164.91, Z1=35.95, A1=-18.94, B1=5.41, C1=5.79, M1=-43.50, N1=-415.50, O1=-169.50 L2=26.713, I2=26.750,  Status = ON
X1=-64.14, Y1=-159.52, Z1=63.45, A1=-18.63, B1=10.80, C1=7.06, M1=-27.00, N1=-420.00, O1=-211.50 L2=26.702, I2=27.250,  Status = ON
X1=-37.58, Y1=-144.75, Z1=45.20, A1=-16.44, B1=6.87, C1=11.72, M1=9.00, N1=-433.50, O1=-252.00 L2=26.873, I2=26.750,  Status = ON
X1=-55.62, Y1=-129.68, Z1=111.40, A1=-13.18, B1=5.07, C1=6.25, M1=61.50, N1=-439.50, O1=-280.50 L2=26.748, I2=26.750,  Status = ON
X1=-53.70, Y1=-99.70, Z1=52.46, A1=-9.47, B1=8.36, C1=7.96, M1=127.50, N1=-430.50, O1=-313.50 L2=26.760, I2=26.500,  Status = ON
X1=-46.03, Y1=-77.54, Z1=38.24, A1=-9.77, B1=9.62, C1=9.26, M1=190.50, N1=-412.50, O1=-340.50 L2=26.807, I2=27.000,  Status = ON
X1=-29.26, Y1=-66.02, Z1=19.70, A1=-6.08, B1=7.45, C1=8.73, M1=235.50, N1=-397.50, O1=-343.50 L2=26.803, I2=26.875,  Status = ON
X1=60.24, Y1=107.69, Z1=105.43, A1=-7.96, B1=8.17, C1=7.91, M1=267.00, N1=-384.00, O1=-346.50 L2=26.830, I2=26.625,  Status = ON
X1=-23.46, Y1=-52.31, Z1=14.93, A1=-5.06, B1=5.18, C1=6.53, M1=297.00, N1=-363.00, O1=-346.50 L2=26.713, I2=26.875,  Status = ON
X1=8.75, Y1=234.31, Z1=-109.07, A1=-15.07, B1=17.54, C1=13.27, M1=304.50, N1=-358.50, O1=-337.50 L2=26.741, I2=26.875,  Status = ON
X1=-42.79, Y1=-25.51, Z1=-43.98, A1=-5.56, B1=1.20, C1=5.63, M1=297.00, N1=-358.50, O1=-337.50 L2=26.858, I2=26.750,  Status = ON
X1=-6.64, Y1=-18.48, Z1=-3.58, A1=-5.03, B1=5.41, C1=6.74, M1=297.00, N1=-355.50, O1=-340.50 L2=26.721, I2=26.750,  Status = ON
X1=48.54, Y1=-96.64, Z1=-21.34, A1=-10.28, B1=8.33, C1=7.74, M1=309.00, N1=-357.00, O1=-330.00 L2=26.709, I2=26.625,  Status = ON
X1=-7.04, Y1=-21.74, Z1=-228.74, A1=-12.82, B1=10.77, C1=8.84, M1=297.00, N1=-378.00, O1=-319.50 L2=26.694, I2=26.750,  Status = ON
X1=58.30, Y1=80.64, Z1=-91.45, A1=-13.21, B1=9.78, C1=10.96, M1=243.00, N1=-414.00, O1=-315.00 L2=26.686, I2=26.750,  Status = ON
X1=34.63, Y1=127.29, Z1=-95.02, A1=-11.69, B1=6.71, C1=9.97, M1=171.00, N1=-432.00, O1=-318.00 L2=26.873, I2=26.750,  Status = ON
X1=36.16, Y1=127.08, Z1=-99.22, A1=-7.53, B1=4.71, C1=8.09, M1=96.00, N1=-438.00, O1=-315.00 L2=26.713, I2=26.875,  Status = ON
X1=26.15, Y1=120.19, Z1=-78.40, A1=-7.11, B1=2.92, C1=6.72, M1=30.00, N1=-439.50, O1=-292.50 L2=26.842, I2=26.875,  Status = ON
X1=20.41, Y1=113.31, Z1=-67.03, A1=-7.24, B1=3.71, C1=5.50, M1=-25.50, N1=-429.00, O1=-265.50 L2=26.780, I2=27.000,  Status = ON
X1=21.50, Y1=110.26, Z1=-57.56, A1=-8.73, B1=3.71, C1=5.02, M1=-63.00, N1=-417.00, O1=-237.00 L2=26.807, I2=26.625,  Status = ON
X1=24.19, Y1=116.51, Z1=-58.32, A1=-8.28, B1=3.13, C1=4.27, M1=-84.00, N1=-402.00, O1=-210.00 L2=26.737, I2=26.625,  Status = ON
X1=31.39, Y1=121.54, Z1=-67.63, A1=-7.33, B1=2.02, C1=3.57, M1=-103.50, N1=-397.50, O1=-186.00 L2=26.834, I2=27.250,  Status = ON
X1=31.33, Y1=114.11, Z1=-41.22, A1=-7.34, B1=0.44, C1=2.23, M1=-121.50, N1=-397.50, O1=-162.00 L2=26.815, I2=26.625,  Status = ON
X1=26.69, Y1=108.82, Z1=-44.60, A1=-4.15, B1=0.03, C1=0.68, M1=-133.50, N1=-394.50, O1=-136.50 L2=26.905, I2=27.250,  Status = ON
X1=20.42, Y1=96.81, Z1=-31.11, A1=-3.24, B1=-0.62, C1=0.10, M1=-148.50, N1=-399.00, O1=-118.50 L2=26.655, I2=26.875,  Status = ON
