X1=-15.91, Y1=-155.79, Z1=30.19, A1=-12.28, B1=5.61, C1=-2.54, M1=187.50, N1=-252.00, O1=307.50 L2=26.600, I2=26.625,  Status = ON
X1=8.28, Y1=-101.48, Z1=175.03, A1=-2.85, B1=6.78, C1=-0.10, M1=168.00, N1=-210.00, O1=337.50 L2=26.678, I2=26.625,  Status = ON
X1=17.41, Y1=-165.61, Z1=34.92, A1=-5.53, B1=5.45, C1=-0.99, M1=139.50, N1=-198.00, O1=355.50 L2=26.635, I2=26.750,  Status = ON
X1=-15.53, Y1=-144.30, Z1=121.39, A1=-6.45, B1=4.13, C1=0.94, M1=99.00, N1=-189.00, O1=370.50 L2=26.737, I2=27.000,  Status = ON
X1=14.25, Y1=-153.50, Z1=120.46, A1=-3.30, B1=2.89, C1=2.23, M1=58.50, N1=-180.00, O1=373.50 L2=26.620, I2=26.625,  Status = ON
X1=-38.41, Y1=-147.43, Z1=80.66, A1=-3.13, B1=2.13, C1=3.24, M1=21.00, N1=-181.50, O1=375.00 L2=26.690, I2=26.750,  Status = ON
X1=-79.66, Y1=-150.96, Z1=70.83, A1=-4.64, B1=3.50, C1=4.43, M1=-21.00, N1=-198.00, O1=369.00 L2=26.752, I2=26.625,  Status = ON
X1=-102.10, Y1=-164.19, Z1=60.22, A1=-4.78, B1=7.70, C1=5.96, M1=-57.00, N1=-219.00, O1=343.50 L2=26.737, I2=26.625,  Status = ON
X1=-119.77, Y1=-136.36, Z1=17.30, A1=-7.91, B1=9.66, C1=7.21, M1=-93.00, N1=-247.50, O1=313.50 L2=26.682, I2=26.875,  Status = ON
X1=-117.13, Y1=-114.36, Z1=23.10, A1=-11.19, B1=11.79, C1=7.89, M1=-117.00, N1=-271.50, O1=279.00 L2=26.647, I2=26.625,  Status = ON
X1=-122.04, Y1=-91.13, Z1=26.90, A1=-10.53, B1=11.85, C1=7.34, M1=-129.00, N1=-295.50, O1=240.00 L2=26.674, I2=26.750,  Status = ON
X1=-108.90, Y1=-66.44, Z1=-10.43, A1=-11.32, B1=13.94, C1=10.64, M1=-147.00, N1=-312.00, O1=204.00 L2=26.651, I2=26.750,  Status = ON
X1=-108.18, Y1=-45.65, Z1=40.90, A1=-10.75, B1=11.45, C1=9.03, M1=-156.00, N1=-324.00, O1=166.50 L2=26.756, I2=26.875,  Status = ON
X1=-85.43, Y1=-28.60, Z1=-25.51, A1=-7.96, B1=14.37, C1=9.25, M1=-148.50, N1=-315.00, O1=135.00 L2=26.643, I2=26.500,  Status = ON
X1=-23.91, Y1=1.40, Z1=-4.47, A1=-8.16, B1=12.00, C1=10.15, M1=-144.00, N1=-318.00, O1=117.00 L2=26.686, I2=26.750,  Status = ON
X1=-10.78, Y1=-21.91, Z1=-7.94, A1=-5.70, B1=12.55, C1=9.43, M1=-142.50, N1=-333.00, O1=108.00 L2=26.674, I2=27.000,  Status = ON
X1=-7.77, Y1=0.80, Z1=-1.40, A1=-9.84, B1=14.16, C1=11.42, M1=-135.00, N1=-333.00, O1=99.00 L2=26.733, I2=26.625,  Status = ON
X1=5.92, Y1=-23.70, Z1=-137.78, A1=-10.56, B1=16.41, C1=13.86, M1=-150.00, N1=-327.00, O1=93.00 L2=26.573, I2=26.750,  Status = ON
X1=59.92, Y1=42.80, Z1=-66.54, A1=-10.38, B1=16.95, C1=13.07, M1=-178.50, N1=-319.50, O1=96.00 L2=26.584, I2=26.625,  Status = ON
X1=108.49, Y1=77.73, Z1=-52.49, A1=-10.26, B1=14.43, C1=12.63, M1=-201.00, N1=-313.50, O1=117.00 L2=26.643, I2=26.625,  Status = ON
X1=134.38, Y1=98.55, Z1=-10.82, A1=-5.70, B1=9.43, C1=12.05, M1=-208.50, N1=-300.00, O1=160.50 L2=26.631, I2=26.750,  Status = ON
X1=135.65, Y1=127.08, Z1=-75.05, A1=-4.23, B1=5.37, C1=9.01, M1=-201.00, N1=-282.00, O1=208.50 L2=26.733, I2=26.750,  Status = ON
