
X1=8.12, Y1=-144.98, Z1=126.46, A1=-6.74, B1=-1.22, C1=-4.85, M1=93.00, N1=-423.00, O1=147.00 L2=26.709, I2=26.875,  Status = ON
X1=-7.82, Y1=-141.21, Z1=42.85, A1=-1.99, B1=1.86, C1=-4.36, M1=222.00, N1=-336.00, O1=232.50 L2=26.694, I2=26.750,  Status = ON
X1=-20.77, Y1=-155.02, Z1=-57.63, A1=-11.53, B1=2.33, C1=-1.88, M1=202.50, N1=-342.00, O1=250.50 L2=26.612, I2=26.750,  Status = ON
X1=18.51, Y1=-112.67, Z1=-3.26, A1=-10.02, B1=4.98, C1=1.21, M1=172.50, N1=-346.50, O1=265.50 L2=26.620, I2=26.875,  Status = ON
X1=16.76, Y1=-104.15, Z1=-58.67, A1=-6.41, B1=4.82, C1=1.95, M1=138.00, N1=-342.00, O1=274.50 L2=26.663, I2=27.250,  Status = ON
X1=29.95, Y1=-127.41, Z1=32.86, A1=-1.34, B1=1.46, C1=5.31, M1=109.50, N1=-333.00, O1=286.50 L2=26.752, I2=26.750,  Status = ON
X1=34.43, Y1=-169.09, Z1=272.63, A1=7.29, B1=0.91, C1=4.35, M1=97.50, N1=-303.00, O1=303.00 L2=26.694, I2=27.000,  Status = ON
X1=-24.66, Y1=-226.03, Z1=62.11, A1=2.45, B1=-1.93, C1=2.86, M1=75.00, N1=-291.00, O1=313.50 L2=26.663, I2=26.750,  Status = ON
X1=-37.66, Y1=-251.89, Z1=2.48, A1=-4.07, B1=1.42, C1=1.54, M1=33.00, N1=-298.50, O1=318.00 L2=26.682, I2=26.750,  Status = ON
X1=-61.27, Y1=-276.58, Z1=-128.87, A1=-19.14, B1=-1.39, C1=12.52, M1=-40.50, N1=-295.50, O1=304.50 L2=26.721, I2=27.000,  Status = ON
X1=-52.06, Y1=-261.66, Z1=23.37, A1=-9.87, B1=7.03, C1=14.22, M1=-112.50, N1=-292.50, O1=270.00 L2=26.682, I2=26.750,  Status = ON
X1=-67.02, Y1=-241.32, Z1=61.31, A1=-19.59, B1=10.26, C1=18.90, M1=-151.50, N1=-294.00, O1=225.00 L2=26.666, I2=26.875,  Status = ON
X1=-31.61, Y1=-161.54, Z1=-3.02, A1=-19.59, B1=9.52, C1=10.61, M1=-175.50, N1=-304.50, O1=183.00 L2=26.616, I2=26.750,  Status = ON
X1=-22.64, Y1=-92.62, Z1=-22.76, A1=-16.70, B1=8.93, C1=9.75, M1=-192.00, N1=-304.50, O1=154.50 L2=26.655, I2=26.875,  Status = ON
X1=-3.01, Y1=-55.97, Z1=-17.26, A1=-12.62, B1=3.17, C1=7.71, M1=-201.00, N1=-300.00, O1=129.00 L2=26.748, I2=26.750,  Status = ON
X1=-54.29, Y1=110.01, Z1=157.46, A1=-2.51, B1=-1.16, C1=3.63, M1=-184.50, N1=-309.00, O1=127.50 L2=26.588, I2=27.000,  Status = ON
X1=-23.81, Y1=-46.07, Z1=3.75, A1=-13.65, B1=5.33, C1=5.71, M1=-159.00, N1=-319.50, O1=126.00 L2=26.702, I2=26.750,  Status = ON
X1=-92.15, Y1=-72.57, Z1=-44.93, A1=-2.18, B1=1.48, C1=4.00, M1=-156.00, N1=-321.00, O1=118.50 L2=26.686, I2=26.750,  Status = ON
X1=10.82, Y1=-12.81, Z1=14.66, A1=-4.92, B1=5.43, C1=7.41, M1=-156.00, N1=-324.00, O1=123.00 L2=26.713, I2=27.000,  Status = ON
