
X1=-52.73, Y1=87.83, Z1=102.40, A1=-5.48, B1=-5.74, C1=-4.70, M1=61.50, N1=327.00, O1=-183.00 L2=26.397, I2=26.375,  Status = ON
X1=-42.09, Y1=91.95, Z1=208.76, A1=-5.80, B1=-3.08, C1=-4.66, M1=-106.50, N1=340.50, O1=-114.00 L2=26.354, I2=26.500,  Status = ON
X1=-15.29, Y1=91.57, Z1=216.40, A1=-7.67, B1=-1.86, C1=-5.90, M1=-150.00, N1=324.00, O1=-100.50 L2=26.463, I2=26.500,  Status = ON
X1=8.81, Y1=89.48, Z1=110.89, A1=-4.10, B1=0.36, C1=-5.95, M1=-205.50, N1=282.00, O1=-84.00 L2=26.288, I2=26.500,  Status = ON
X1=38.15, Y1=80.80, Z1=155.04, A1=-4.85, B1=0.45, C1=-5.68, M1=-250.50, N1=253.50, O1=-66.00 L2=26.346, I2=26.500,  Status = ON
X1=55.54, Y1=65.14, Z1=164.27, A1=-2.99, B1=0.51, C1=-7.58, M1=-291.00, N1=216.00, O1=-55.50 L2=26.401, I2=26.500,  Status = ON
X1=66.37, Y1=50.08, Z1=203.84, A1=0.74, B1=3.45, C1=-9.43, M1=-330.00, N1=166.50, O1=-54.00 L2=26.393, I2=26.375,  Status = ON
X1=101.60, Y1=-24.52, Z1=286.68, A1=0.49, B1=5.05, C1=-6.45, M1=-369.00, N1=72.00, O1=-51.00 L2=26.424, I2=26.500,  Status = ON
X1=77.32, Y1=-90.19, Z1=285.83, A1=-15.76, B1=1.66, C1=-4.26, M1=-382.50, N1=-76.50, O1=-60.00 L2=26.534, I2=26.500,  Status = ON
X1=51.10, Y1=-19.02, Z1=106.00, A1=-7.70, B1=3.04, C1=-6.62, M1=-367.50, N1=-171.00, O1=-70.50 L2=26.487, I2=26.375,  Status = ON
X1=80.05, Y1=-22.10, Z1=52.74, A1=-3.25, B1=5.18, C1=-8.08, M1=-357.00, N1=-208.50, O1=-75.00 L2=26.370, I2=26.500,  Status = ON
X1=90.96, Y1=-25.27, Z1=23.31, A1=-6.97, B1=4.64, C1=-8.35, M1=-349.50, N1=-232.50, O1=-70.50 L2=26.381, I2=26.500,  Status = ON
X1=89.08, Y1=-36.45, Z1=57.18, A1=-5.06, B1=3.98, C1=-6.67, M1=-337.50, N1=-246.00, O1=-67.50 L2=26.401, I2=26.500,  Status = ON
X1=85.02, Y1=-35.28, Z1=44.21, A1=-4.60, B1=3.65, C1=-6.91, M1=-325.50, N1=-265.50, O1=-63.00 L2=26.358, I2=26.625,  Status = ON
X1=89.58, Y1=-31.60, Z1=19.40, A1=-7.57, B1=1.00, C1=-7.62, M1=-310.50, N1=-280.50, O1=-49.50 L2=26.463, I2=26.500,  Status = ON
X1=100.07, Y1=-27.69, Z1=-5.74, A1=-5.05, B1=-0.26, C1=-5.70, M1=-300.00, N1=-286.50, O1=-40.50 L2=26.479, I2=26.500,  Status = ON
X1=101.08, Y1=-21.43, Z1=-21.42, A1=-4.69, B1=-2.07, C1=-3.92, M1=-298.50, N1=-283.50, O1=-31.50 L2=26.381, I2=26.500,  Status = ON
X1=96.28, Y1=-18.09, Z1=33.60, A1=-4.63, B1=-3.76, C1=-1.90, M1=-300.00, N1=-288.00, O1=-13.50 L2=26.338, I2=26.500,  Status = ON
X1=87.10, Y1=-31.90, Z1=129.29, A1=-3.66, B1=-3.77, C1=-1.43, M1=-288.00, N1=-309.00, O1=1.50 L2=26.315, I2=26.375,  Status = ON
X1=65.37, Y1=-49.15, Z1=155.59, A1=-8.35, B1=-3.16, C1=-4.94, M1=-256.50, N1=-339.00, O1=9.00 L2=26.307, I2=26.500,  Status = ON
X1=48.54, Y1=-46.02, Z1=106.80, A1=-9.32, B1=-3.79, C1=-8.02, M1=-220.50, N1=-367.50, O1=18.00 L2=26.428, I2=26.500,  Status = ON
X1=31.27, Y1=-51.61, Z1=178.04, A1=-7.98, B1=-2.29, C1=-9.43, M1=-186.00, N1=-391.50, O1=24.00 L2=26.491, I2=26.500,  Status = ON
X1=18.80, Y1=-57.19, Z1=159.73, A1=-6.42, B1=1.75, C1=-9.04, M1=-141.00, N1=-415.50, O1=22.50 L2=26.315, I2=26.500,  Status = ON
X1=23.14, Y1=-55.73, Z1=104.03, A1=-11.01, B1=4.46, C1=-7.06, M1=-97.50, N1=-433.50, O1=25.50 L2=26.413, I2=26.375,  Status = ON
X1=25.80, Y1=-32.48, Z1=31.55, A1=-12.05, B1=6.05, C1=-5.12, M1=-69.00, N1=-442.50, O1=33.00 L2=26.377, I2=26.500,  Status = ON
X1=41.65, Y1=-11.44, Z1=50.91, A1=-12.86, B1=4.79, C1=-4.49, M1=-48.00, N1=-447.00, O1=36.00 L2=26.358, I2=26.500,  Status = ON
X1=48.73, Y1=10.97, Z1=7.98, A1=-9.19, B1=3.70, C1=-5.37, M1=-36.00, N1=-448.50, O1=37.50 L2=26.291, I2=26.500,  Status = ON
X1=49.20, Y1=25.61, Z1=16.00, A1=-7.77, B1=1.20, C1=-5.61, M1=-34.50, N1=-447.00, O1=51.00 L2=26.440, I2=26.500,  Status = ON
X1=38.28, Y1=23.85, Z1=41.54, A1=-6.02, B1=-0.29, C1=-5.47, M1=-24.00, N1=-442.50, O1=67.50 L2=26.483, I2=26.500,  Status = ON
X1=17.32, Y1=13.17, Z1=26.69, A1=-3.38, B1=-2.19, C1=-5.61, M1=-7.50, N1=-441.00, O1=82.50 L2=26.459, I2=26.500,  Status = ON
X1=-4.59, Y1=-5.57, Z1=27.30, A1=-0.51, B1=-2.92, C1=-4.67, M1=4.50, N1=-442.50, O1=91.50 L2=26.393, I2=26.375,  Status = ON
X1=-40.40, Y1=-31.58, Z1=77.76, A1=5.04, B1=-3.19, C1=-2.41, M1=18.00, N1=-442.50, O1=79.50 L2=26.342, I2=26.500,  Status = ON
X1=-59.97, Y1=-73.02, Z1=135.73, A1=10.63, B1=-3.56, C1=2.59, M1=54.00, N1=-444.00, O1=60.00 L2=26.319, I2=26.500,  Status = ON
X1=-109.83, Y1=-115.98, Z1=96.74, A1=8.21, B1=-3.96, C1=3.32, M1=96.00, N1=-445.50, O1=36.00 L2=26.342, I2=26.500,  Status = ON
X1=-160.26, Y1=-137.78, Z1=111.69, A1=0.35, B1=-2.02, C1=5.51, M1=129.00, N1=-453.00, O1=4.50 L2=26.495, I2=26.375,  Status = ON
X1=-204.07, Y1=-131.62, Z1=61.09, A1=-3.59, B1=2.97, C1=8.74, M1=157.50, N1=-448.50, O1=-40.50 L2=26.463, I2=26.500,  Status = ON
X1=-219.41, Y1=-186.11, Z1=-98.06, A1=-3.13, B1=15.59, C1=1.31, M1=151.50, N1=-438.00, O1=-93.00 L2=26.463, I2=26.625,  Status = ON
X1=-216.12, Y1=-196.96, Z1=7.24, A1=-19.59, B1=9.77, C1=18.68, M1=139.50, N1=-439.50, O1=-153.00 L2=26.377, I2=26.500,  Status = ON
X1=-176.18, Y1=-150.81, Z1=53.74, A1=-15.66, B1=14.94, C1=14.49, M1=171.00, N1=-430.50, O1=-210.00 L2=26.459, I2=26.500,  Status = ON
X1=-128.61, Y1=-95.39, Z1=39.58, A1=-18.44, B1=19.57, C1=11.15, M1=226.50, N1=-405.00, O1=-259.50 L2=26.354, I2=26.500,  Status = ON
X1=-73.42, Y1=-50.17, Z1=63.85, A1=-13.31, B1=16.80, C1=8.43, M1=273.00, N1=-372.00, O1=-291.00 L2=26.350, I2=26.500,  Status = ON
X1=-45.13, Y1=-14.45, Z1=7.77, A1=-5.75, B1=7.71, C1=6.19, M1=297.00, N1=-334.50, O1=-304.50 L2=26.323, I2=26.500,  Status = ON
X1=-34.12, Y1=-12.69, Z1=27.94, A1=-5.69, B1=8.50, C1=7.62, M1=307.50, N1=-310.50, O1=-312.00 L2=26.315, I2=26.375,  Status = ON
X1=-25.03, Y1=-11.72, Z1=6.41, A1=-4.03, B1=9.14, C1=7.06, M1=324.00, N1=-309.00, O1=-318.00 L2=26.370, I2=26.375,  Status = ON
X1=-12.77, Y1=-10.08, Z1=-1.10, A1=-4.24, B1=9.30, C1=6.38, M1=330.00, N1=-301.50, O1=-316.50 L2=26.389, I2=26.375,  Status = ON
X1=12.38, Y1=0.84, Z1=-10.87, A1=-8.49, B1=11.20, C1=8.48, M1=328.50, N1=-300.00, O1=-315.00 L2=26.397, I2=26.500,  Status = ON
X1=37.97, Y1=26.81, Z1=-42.28, A1=-12.58, B1=15.54, C1=9.82, M1=327.00, N1=-310.50, O1=-318.00 L2=26.479, I2=26.500,  Status = ON
X1=71.99, Y1=72.31, Z1=-106.94, A1=-12.86, B1=17.35, C1=11.30, M1=300.00, N1=-334.50, O1=-319.50 L2=26.397, I2=26.500,  Status = ON
X1=103.87, Y1=105.44, Z1=-110.51, A1=-11.17, B1=14.72, C1=10.47, M1=246.00, N1=-370.50, O1=-307.50 L2=26.373, I2=26.375,  Status = ON
X1=123.59, Y1=127.27, Z1=-102.27, A1=-7.32, B1=10.35, C1=10.95, M1=175.50, N1=-405.00, O1=-277.50 L2=26.436, I2=26.375,  Status = ON
X1=126.13, Y1=125.90, Z1=-65.83, A1=-5.07, B1=7.91, C1=8.70, M1=118.50, N1=-433.50, O1=-237.00 L2=26.420, I2=26.500,  Status = ON
X1=124.07, Y1=115.51, Z1=-61.90, A1=-5.07, B1=5.74, C1=5.73, M1=82.50, N1=-445.50, O1=-187.50 L2=26.452, I2=26.500,  Status = ON
X1=116.01, Y1=106.71, Z1=-45.66, A1=-5.96, B1=4.87, C1=4.06, M1=58.50, N1=-448.50, O1=-139.50 L2=26.424, I2=26.500,  Status = ON
X1=117.16, Y1=109.10, Z1=-41.33, A1=-7.50, B1=4.61, C1=2.67, M1=39.00, N1=-453.00, O1=-103.50 L2=26.444, I2=26.625,  Status = ON
X1=117.19, Y1=120.57, Z1=-55.69, A1=-6.28, B1=3.30, C1=1.73, M1=31.50, N1=-459.00, O1=-63.00 L2=26.366, I2=26.500,  Status = ON
X1=114.27, Y1=128.08, Z1=-50.79, A1=-6.63, B1=1.92, C1=0.45, M1=21.00, N1=-462.00, O1=-21.00 L2=26.370, I2=26.500,  Status = ON
X1=105.64, Y1=136.01, Z1=-62.31, A1=-5.04, B1=1.43, C1=-0.22, M1=10.50, N1=-456.00, O1=13.50 L2=26.483, I2=26.500,  Status = ON
X1=99.59, Y1=129.94, Z1=-20.90, A1=-6.30, B1=0.90, C1=-2.28, M1=6.00, N1=-450.00, O1=46.50 L2=26.440, I2=26.500,  Status = ON
X1=91.18, Y1=118.22, Z1=-14.74, A1=-5.89, B1=1.14, C1=-2.54, M1=7.50, N1=-447.00, O1=81.00 L2=26.370, I2=26.500,  Status = ON
X1=84.80, Y1=107.24, Z1=-8.85, A1=-4.75, B1=1.81, C1=-1.94, M1=19.50, N1=-438.00, O1=108.00 L2=26.346, I2=26.375,  Status = ON
X1=79.68, Y1=97.08, Z1=8.28, A1=-4.97, B1=0.67, C1=-2.05, M1=36.00, N1=-426.00, O1=127.50 L2=26.393, I2=26.500,  Status = ON
X1=75.13, Y1=79.97, Z1=18.71, A1=-3.30, B1=-0.74, C1=-2.61, M1=58.50, N1=-417.00, O1=150.00 L2=26.323, I2=26.375,  Status = ON
